cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_h,effect_value
10108642,Cadmium chloride,FISH,Oreochromis mossambicus,NA,A,LC50,96,6
10108642,Cadmium chloride,INVERT,Artemia sp,NA,A,LC50,24,1.5
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.067
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.008
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.126
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.138
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.23
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.237
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,22.6
10108642,Cadmium chloride,INVERT,Brachionus calyciflorus,NA,C,NOEC,360,0.025
10108642,Cadmium chloride,INVERT,Brachionus calyciflorus,NA,C,NOEC,360,0.1
10108642,Cadmium chloride,INVERT,Macrobrachium kistnensis,NA,A,LC50,96,0.5696
10108642,Cadmium chloride,INVERT,Caridina rajdhari,NA,A,LC50,96,0.6307
10108642,Cadmium chloride,FISH,Notopterus notopterus,NA,A,LC50,96,44.54
10108642,Cadmium chloride,FISH,Notopterus notopterus,NA,A,LC50,96,75.5
10108642,Cadmium chloride,FISH,Heteropneustes fossilis,NA,A,LC50,168,115
10108642,Cadmium chloride,FISH,Notopterus notopterus,NA,A,LC50,72,69.4
10108642,Cadmium chloride,FISH,Notopterus notopterus,NA,A,LC50,48,57.9
10108642,Cadmium chloride,FISH,Notopterus notopterus,NA,A,LC50,96,75.5
10108642,Cadmium chloride,FISH,Barbus conchonius,NA,A,LC50,96,7.8
10108642,Cadmium chloride,FISH,Fundulus heteroclitus,NA,A,LC50,96,0.0122
10108642,Cadmium chloride,FISH,Fundulus heteroclitus,NA,A,LC50,48,0.0452
10108642,Cadmium chloride,INVERT,Diporeia sp,NA,A,LC50,48,0.06
10108642,Cadmium chloride,ALGAE,Microcystis aeruginosa,NA,A,EC50,96,1.6e-4
10108642,Cadmium chloride,ALGAE,Scenedesmus quadricauda,NA,A,EC50,96,0.00187
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.0095
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,C,NOEC,504,0.0032
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,C,NOEC,240,0.0032
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.017
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.071
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.00948
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.0098
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,24,0.0353
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,24,0.0396
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.332
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,24,0.632
10108642,Cadmium chloride,FISH,Cyprinodon variegatus,NA,A,LC50,96,0.1803
10108642,Cadmium chloride,INVERT,Eurytemora affinis,NA,A,LC50,96,0.0516
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.08
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.08
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,96,0.09
10108642,Cadmium chloride,FISH,Pimephales promelas,NA,A,LC50,48,0.1
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.03
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,EC50,48,0.09
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.02
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.04
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.05
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,EC50,48,0.05
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,EC50,48,0.07
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,EC50,48,0.07
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.08
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,EC50,48,0.08
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,EC50,48,0.1
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,EC50,48,0.11
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,EC50,48,0.11
10108642,Cadmium chloride,FISH,Oncorhynchus tshawytscha,NA,A,LC50,96,0.026
10108642,Cadmium chloride,FISH,Oncorhynchus tshawytscha,NA,A,LC50,96,0.057
10108642,Cadmium chloride,FISH,Menidia peninsulae,NA,A,LC50,96,0.31
10108642,Cadmium chloride,FISH,Salvelinus confluentus,NA,A,LC50,120,8.3e-4
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,120,8.4e-4
10108642,Cadmium chloride,FISH,Salvelinus confluentus,NA,A,LC50,120,8.8e-4
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,120,3.5e-4
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,120,3.6e-4
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,120,5.3e-4
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,120,0.00207
10108642,Cadmium chloride,FISH,Salvelinus confluentus,NA,A,LC50,120,0.00241
10108642,Cadmium chloride,FISH,Salvelinus confluentus,NA,A,LC50,120,0.00523
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,EC50,96,0.04
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,EC50,72,0.07
10108642,Cadmium chloride,FISH,Notemigonus crysoleucas,NA,A,LC50,96,2.8
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,72,0.026
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.0224
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,48,0.0714
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,72,0.027
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,48,0.042
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,72,0.029
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,48,0.084
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,72,0.03
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,48,0.076
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,48,0.083
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.0286
10108642,Cadmium chloride,INVERT,Moina macrocopa,NA,A,LC50,48,0.0804
10108642,Cadmium chloride,INVERT,Ruditapes decussatus,NA,A,LC50,96,7.08
10108642,Cadmium chloride,AMPHIB,Xenopus laevis,NA,A,LC50,96,0.5
10108642,Cadmium chloride,INVERT,Lumbriculus variegatus,NA,A,EC50,96,0.15
10108642,Cadmium chloride,INVERT,Deleatidium sp,NA,A,EC50,96,135.2
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,37.9
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,LC50,48,0.0807
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,LC50,24,0.143
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,LC50,48,0.361
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,LC50,24,1.44
10108642,Cadmium chloride,FISH,Salvelinus fontinalis,NA,A,LC50,96,5.08
10108642,Cadmium chloride,FISH,Salvelinus fontinalis,NA,A,LC50,48,6.16
10108642,Cadmium chloride,FISH,Salvelinus fontinalis,NA,A,LC50,96,5.08
10108642,Cadmium chloride,FISH,Salvelinus fontinalis,NA,A,LC50,72,5.24
10108642,Cadmium chloride,INVERT,Hydra viridissima,NA,C,NOEC,336,4e-4
10108642,Cadmium chloride,INVERT,Hydra viridissima,NA,C,NOEC,504,4e-4
10108642,Cadmium chloride,INVERT,Hydra viridissima,NA,C,NOEC,168,4e-4
10108642,Cadmium chloride,INVERT,Hydra viridissima,NA,C,NOEC,168,8e-4
10108642,Cadmium chloride,INVERT,Hydra viridissima,NA,C,NOEC,168,0.0028
10108642,Cadmium chloride,INVERT,Hydra viridissima,NA,A,LC50,96,0.003
10108642,Cadmium chloride,INVERT,Hydra vulgaris,NA,A,LC50,96,0.0825
10108642,Cadmium chloride,INVERT,Rhepoxynius abronius,NA,A,LC50,96,0.24
10108642,Cadmium chloride,INVERT,Elasmopus bampo,NA,A,LC50,48,0.57
10108642,Cadmium chloride,INVERT,Chelura terebrans,NA,A,LC50,96,0.63
10108642,Cadmium chloride,INVERT,Grandidierella japonica,NA,A,LC50,96,1.17
10108642,Cadmium chloride,INVERT,Limnoria tripunctata,NA,A,LC50,96,7.12
10108642,Cadmium chloride,INVERT,Palaemonetes pugio,NA,A,LC50,96,0.19
10108642,Cadmium chloride,FISH,Morone saxatilis,NA,A,LC50,96,0.001
10108642,Cadmium chloride,FISH,Morone saxatilis,NA,A,LC50,72,0.001
10108642,Cadmium chloride,FISH,Morone saxatilis,NA,A,LC50,96,0.001
10108642,Cadmium chloride,FISH,Morone saxatilis,NA,A,LC50,48,0.002
10108642,Cadmium chloride,FISH,Morone saxatilis,NA,A,LC50,72,0.002
10108642,Cadmium chloride,FISH,Morone saxatilis,NA,A,LC50,96,0.002
10108642,Cadmium chloride,FISH,Cyprinodon variegatus,NA,C,NOEC,672,0.56
10108642,Cadmium chloride,FISH,Cyprinodon variegatus,NA,A,LC50,96,1.23
10108642,Cadmium chloride,INVERT,Tisbe battagliai,NA,C,NOEC,192,0.018
10108642,Cadmium chloride,INVERT,Tisbe battagliai,NA,A,LC50,96,0.34
10108642,Cadmium chloride,FISH,Tilapia mossambica,NA,A,LC50,96,0.022
10108642,Cadmium chloride,FISH,Oreochromis mossambicus,NA,A,LC50,96,0.029
10108642,Cadmium chloride,FISH,Oreochromis mossambicus,NA,A,LC50,96,0.022
10108642,Cadmium chloride,FISH,Oreochromis mossambicus,NA,A,LC50,96,0.033
10108642,Cadmium chloride,FISH,Oreochromis mossambicus,NA,A,LC50,96,0.083
10108642,Cadmium chloride,FISH,Oreochromis mossambicus,NA,A,LC50,96,0.205
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.0232
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.0478
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.0536
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.055
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.0587
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.0632
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.0646
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,96,0.0673
10108642,Cadmium chloride,ALGAE,Chlorella saccharophila,NA,A,EC50,96,0.11
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,48,0.118
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,C,NOEC,24,0.003
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,C,NOEC,24,0.003
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,C,NOEC,24,0.025
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,A,EC50,24,0.028
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,A,EC50,24,0.042
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,A,EC50,24,0.066
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,A,EC50,24,0.11
10108642,Cadmium chloride,ALGAE,Chlorella pyrenoidosa,NA,A,EC50,24,0.17
10108642,Cadmium chloride,ALGAE,Dunaliella salina,NA,A,EC50,96,48.9
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC10,72,0.0028
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC10,72,0.006
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC10,72,0.0075
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC10,72,0.0085
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,72,0.0094
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC10,72,0.0119
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC20,72,0.0128
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC10,72,0.0179
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC20,72,0.022
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC10,72,0.0221
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC20,72,0.0043
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC20,72,0.029
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,72,0.029
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,72,0.031
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,C,EC20,72,0.043
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,72,0.043
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,72,0.062
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,72,0.131
10108642,Cadmium chloride,ALGAE,Raphidocelis subcapitata,NA,A,EC50,72,0.199
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.97
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,48,0.97
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.087881
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.0879
10108642,Cadmium chloride,INVERT,Brachionus havanaensis,NA,C,NOEL,432,0.105
10108642,Cadmium chloride,INVERT,Brachionus havanaensis,NA,A,LC50,24,0.419
10108642,Cadmium chloride,FISH,Lepomis cyanellus,NA,A,LC50,384,20.5
10108642,Cadmium chloride,INVERT,Hydra vulgaris,NA,A,LC50,24,0.64
10108642,Cadmium chloride,FISH,Carassius auratus,NA,A,LC50,48,5
10108642,Cadmium chloride,INVERT,Hydra vulgaris,NA,A,LC50,96,0.31
10108642,Cadmium chloride,INVERT,Hydra vulgaris,NA,A,LC50,72,0.45
10108642,Cadmium chloride,INVERT,Hydra vulgaris,NA,A,LC50,48,0.84
10108642,Cadmium chloride,INVERT,Hydra vulgaris,NA,A,LC50,48,0.85
10108642,Cadmium chloride,INVERT,Hydra vulgaris,NA,A,LC50,24,2.7
10108642,Cadmium chloride,FISH,Heteropneustes fossilis,NA,A,LC50,96,393
10108642,Cadmium chloride,FISH,Heteropneustes fossilis,NA,A,LC50,72,401
10108642,Cadmium chloride,FISH,Heteropneustes fossilis,NA,A,LC50,48,410
10108642,Cadmium chloride,FISH,Cyprinus carpio,NA,A,LC50,72,5
10108642,Cadmium chloride,FISH,Cyprinus carpio,NA,A,LC50,48,7.7
10108642,Cadmium chloride,FISH,Cyprinus carpio,NA,A,LC50,72,8.5
10108642,Cadmium chloride,FISH,Cyprinus carpio,NA,A,LC50,48,9.7
10108642,Cadmium chloride,INVERT,Anodonta imbecillis,NA,A,LC50,48,0.009
10108642,Cadmium chloride,INVERT,Americamysis bahia,NA,C,NOEC,672,0.005
10108642,Cadmium chloride,INVERT,Tubifex tubifex,NA,A,EC50,96,47.53
10108642,Cadmium chloride,FISH,Danio rerio,NA,A,NOEC,72,0.042
10108642,Cadmium chloride,FISH,Tanichthys albonubes,NA,A,LC50,48,5.2
10108642,Cadmium chloride,INVERT,Neocaridina denticulata,NA,A,LC50,96,0.23
10108642,Cadmium chloride,FISH,Tanichthys albonubes,NA,A,LC50,48,23
10108642,Cadmium chloride,FISH,Tanichthys albonubes,NA,A,LC50,48,14
10108642,Cadmium chloride,INVERT,Dreissena polymorpha,NA,A,EC50,96,0.388
10108642,Cadmium chloride,INVERT,Scylla serrata,NA,A,LC50,96,18
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,C,NOEC,504,6e-4
10108642,Cadmium chloride,ALGAE,Desmodesmus subspicatus,NA,A,EC50,48,0.1
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,C,NOEC,504,6e-4
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,EC50,24,1.9
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,96,0.0042
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,96,0.006
10108642,Cadmium chloride,FISH,Oncorhynchus mykiss,NA,A,LC50,48,0.009
10108642,Cadmium chloride,INVERT,Mytilopsis sallei,NA,A,LC50,96,0.3467
10108642,Cadmium chloride,FISH,Pagrus major,NA,A,LC50,96,0.7
10108642,Cadmium chloride,FISH,Girella punctata,NA,A,LC50,96,15.7
10108642,Cadmium chloride,FISH,Chasmichthys dolichognathus,NA,A,LC50,96,5.5
10108642,Cadmium chloride,FISH,Danio rerio,NA,A,EC50,48,5.5
10108642,Cadmium chloride,INVERT,Chydorus sphaericus,NA,A,EC50,48,0.149
10108642,Cadmium chloride,INVERT,Skistodiaptomus oregonensis,NA,A,EC50,48,0.048
10108642,Cadmium chloride,INVERT,Diaptomus leptopus,NA,A,EC50,96,0.059
10108642,Cadmium chloride,INVERT,Daphnia rosea,NA,A,EC50,48,0.171
10108642,Cadmium chloride,INVERT,Chydorus sphaericus,NA,A,EC50,48,0.56
10108642,Cadmium chloride,INVERT,Chydorus sphaericus,NA,A,EC50,48,0.149
10108642,Cadmium chloride,INVERT,Chydorus sphaericus,NA,A,EC50,48,0.244
10108642,Cadmium chloride,INVERT,Chydorus sphaericus,NA,A,EC50,48,0.277
10108642,Cadmium chloride,INVERT,Chydorus sphaericus,NA,A,EC50,48,0.288
10108642,Cadmium chloride,INVERT,Chydorus sphaericus,NA,A,EC50,48,0.431
10108642,Cadmium chloride,INVERT,Daphnia rosea,NA,A,EC50,48,0.171
10108642,Cadmium chloride,INVERT,Daphnia rosea,NA,A,EC50,48,0.609
10108642,Cadmium chloride,INVERT,Radix plicatula,NA,A,LC50,96,2.5
10108642,Cadmium chloride,INVERT,Balanus improvisus,NA,A,LC50,24,0.16
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.071
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.14
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.3
10108642,Cadmium chloride,INVERT,Ceriodaphnia dubia,NA,A,EC50,48,0.0559
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.0061
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.1
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.004
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.005
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.46
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.48
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.092
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.098
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.043
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.12
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.11
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.012
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.018
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.018
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.024
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.031
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.037
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.049
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.061
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.067
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.1
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.55
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.12
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.13
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.15
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.16
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.17
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.18
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.18
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.19
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.2
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.2
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.21
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.21
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.22
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.24
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.27
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.34
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.37
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.42
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.43
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.44
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,1.04
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.091
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.094
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.041
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.008
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.106
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.107
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.108
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.007
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.007
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.007
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.009
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.009
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.005
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.006
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.01
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.01
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.012
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.013
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.015
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.017
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.02
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.021
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.023
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.024
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.025
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.026
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.031
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.032
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.033
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.035
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.045
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.047
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.047
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.05
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.055
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.056
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.057
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.058
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.059
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.061
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.062
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.065
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,48,0.066
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.067
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,48,0.074
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.075
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.078
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.083
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.112
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.143
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.151
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.187
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.191
10108642,Cadmium chloride,INVERT,Daphnia pulex,NA,A,LC50,24,0.206
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.216
10108642,Cadmium chloride,INVERT,Daphnia magna,NA,A,LC50,24,0.218
10108642,Cadmium chloride,FISH,Oncorhynchus kisutch,NA,A,LC50,96,0.0104
